,RNFS;ancramir;VDIRPA372;90.128.1.120;GenerarLog;2024216;8:29:49
0,(16/02/2024 8:29:52 a. m.) ;Configuracion;Gsuite;  Descarga exitosa archivo configuracion.json ID: 1oto3xGnesJQB3ZR61J05u1nlfOpTiJcs
1,(16/02/2024 8:29:54 a. m.) ;Configuracion;Gsuite;  Descarga exitosa archivo Parametros.xlsx ID: 1qsx1GnRzLNn2Xvvfvws5mKyFlivQ48q1VeyI9lqE9ZU
2,(16/02/2024 8:29:58 a. m.) ;Configuracion;CMD; (Taskkill) ejecutado
3,(16/02/2024 8:29:59 a. m.) ;Configuracion;No aplica;Archivos eliminados de la carpeta 'Archivos'
4,(16/02/2024 8:29:59 a. m.) ;Configuracion;No aplica;Carpeta 'Salidas_Historicos' eliminada de la carpeta 'Archivos'
5,(16/02/2024 8:29:59 a. m.) ;Configuracion;No aplica;Carpeta 'Salidas_His_Pro' eliminada de la carpeta 'Archivos'
6,(16/02/2024 8:29:59 a. m.) ;Configuracion;No aplica;Carpeta 'Salidas_Proyecciones' eliminada de la carpeta 'Archivos'
7,(16/02/2024 8:29:59 a. m.) ;Configuracion;Cargue configuración exitoso
8,(16/02/2024 8:29:59 a. m.) ;MaestraNotificaciones1;Inicio Tarea
9,(16/02/2024 8:29:59 a. m.) ;SubMaestraDescargarDavibox;Inicio Tarea
10,(16/02/2024 8:30:05 a. m.) ;LoginDavibox; Davibox; Taskkill ejecutado
11,(16/02/2024 8:31:06 a. m.) ;LoginDavibox;Davibox;Inicio de sesión en Davibox exitoso.
12,(16/02/2024 8:31:30 a. m.) ;DescargarDavibox;Archivo (Salidas_His_Pro.zip) descargada en carpeta archivos
13,(16/02/2024 8:31:37 a. m.) ;DescargarDavibox;Archivos eliminados de Davibox  (Salidas_His_Pro.zip)
14,(16/02/2024 8:31:52 a. m.) ;SubMaestraDescargarDavibox;Fin Tarea
15,(16/02/2024 8:31:52 a. m.) ;SubMaestraCorreoEstado;Inició tarea
16,(16/02/2024 8:32:29 a. m.) ;LoginC360; Davibox; Taskkill ejecutado
17,(16/02/2024 8:34:24 a. m.) ;LoginC360;C360;Inicio de sesión en C360 exitoso.
18,(16/02/2024 8:34:47 a. m.) ;LoginMasiv;Masiv;Inicio de sesión en Masiv exitoso.
19,"(16/02/2024 8:34:47 a. m.) ;SubMaestraCorreoEstado;Se ejecutara script FechaConFormato.vbs. Parametros: ""hoy"" ""ddmmyyyy"""
20,(16/02/2024 8:34:48 a. m.) ;SubMaestraCorreoEstado;Script ejecutado FechaConFormato.vbs output: 16022024
21,(16/02/2024 8:34:48 a. m.) ;SubMaestraCorreoEstado;Copiar archivo (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Templet\Reporte_Notificaciones.xlsx) a (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Templet\Reporte_Notificaciones_Check.xlsx)
22,(16/02/2024 8:34:50 a. m.) ;SubMaestraCorreoEstado;Fin tarea
23,"(16/02/2024 8:34:50 a. m.) ;CargarArchivos;Se ejecutara script: FechaConFormato.vbs Parametros: ""hoy"" ""ddmmyyyy"""
24,"(16/02/2024 8:34:51 a. m.) ;CargarArchivos;Script Ejecutado FechaConFormato.vbs output: ""16022024"""
25,(16/02/2024 8:34:51 a. m.) ;CargarArchivos;Carpeta Eliminada (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
26,(16/02/2024 8:34:52 a. m.) ;CargarArchivos;Carpeta creada (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
27,(16/02/2024 8:34:52 a. m.) ;CargarArchivos;Carpeta copiada de (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Archivos\Salidas_His_Pro) a (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
28,(16/02/2024 8:34:52 a. m.) ;CargarArchivos;Carpeta copiada de (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Archivos\Salidas_Historicos) a (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
29,(16/02/2024 8:34:52 a. m.) ;CargarArchivos;Carpeta copiada de (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Archivos\Salidas_Proyecciones) a (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
30,(16/02/2024 8:34:55 a. m.) ;CargarArchivos; Respuesta Gdrive: 1ne8ipsny-4wS3HBPG7gfzEklTO49uOzs
31,"(16/02/2024 8:34:56 a. m.) ;CargarArchivos;Se ejecutara script: FechaConFormato.vbs Parametros: ""hoy"" ""ddmmyyyy"""
32,"(16/02/2024 8:34:57 a. m.) ;CargarArchivos;Script Ejecutado FechaConFormato.vbs output: ""16022024"""
33,(16/02/2024 8:34:57 a. m.) ;CargarArchivos;Carpeta Eliminada (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
34,(16/02/2024 8:34:58 a. m.) ;CargarArchivos;Carpeta creada (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
35,(16/02/2024 8:34:58 a. m.) ;CargarArchivos;Carpeta copiada de (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Archivos\Salidas_His_Pro) a (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
36,(16/02/2024 8:34:58 a. m.) ;CargarArchivos;Carpeta copiada de (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Archivos\Salidas_Historicos) a (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
37,(16/02/2024 8:34:58 a. m.) ;CargarArchivos;Carpeta copiada de (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Archivos\Salidas_Proyecciones) a (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
38,(16/02/2024 8:35:00 a. m.) ;CargarArchivos; Respuesta Gdrive: 1ne8ipsny-4wS3HBPG7gfzEklTO49uOzs
39,"(16/02/2024 8:35:01 a. m.) ;CargarArchivos;Se ejecutara script: FechaConFormato.vbs Parametros: ""hoy"" ""ddmmyyyy"""
40,"(16/02/2024 8:35:01 a. m.) ;CargarArchivos;Script Ejecutado FechaConFormato.vbs output: ""16022024"""
41,(16/02/2024 8:35:01 a. m.) ;CargarArchivos;Carpeta Eliminada (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
42,(16/02/2024 8:35:02 a. m.) ;CargarArchivos;Carpeta creada (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
43,(16/02/2024 8:35:02 a. m.) ;CargarArchivos;Carpeta copiada de (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Archivos\Salidas_His_Pro) a (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
44,(16/02/2024 8:35:02 a. m.) ;CargarArchivos;Carpeta copiada de (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Archivos\Salidas_Historicos) a (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
45,(16/02/2024 8:35:02 a. m.) ;CargarArchivos;Carpeta copiada de (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Archivos\Salidas_Proyecciones) a (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Reportes)
46,(16/02/2024 8:35:05 a. m.) ;CargarArchivos; Respuesta Gdrive: 1ne8ipsny-4wS3HBPG7gfzEklTO49uOzs
47,(16/02/2024 8:35:08 a. m.) ;MaestraNotificaciones1;Correo enviado
48,RNFS;ancramir;VDIRPA372;90.128.1.120;GenerarLog;2024216;9:24:26
49,(16/02/2024 9:24:29 a. m.) ;Configuracion;Gsuite;  Descarga exitosa archivo configuracion.json ID: 1oto3xGnesJQB3ZR61J05u1nlfOpTiJcs
50,(16/02/2024 9:24:30 a. m.) ;Configuracion;Gsuite;  Descarga exitosa archivo Parametros.xlsx ID: 1qsx1GnRzLNn2Xvvfvws5mKyFlivQ48q1VeyI9lqE9ZU
51,(16/02/2024 9:24:35 a. m.) ;Configuracion;CMD; (Taskkill) ejecutado
52,(16/02/2024 9:24:35 a. m.) ;Configuracion;No aplica;Archivos eliminados de la carpeta 'Archivos'
53,(16/02/2024 9:24:36 a. m.) ;Configuracion;No aplica;Carpeta 'Salidas_Historicos' eliminada de la carpeta 'Archivos'
54,(16/02/2024 9:24:36 a. m.) ;Configuracion;No aplica;Carpeta 'Salidas_His_Pro' eliminada de la carpeta 'Archivos'
55,(16/02/2024 9:24:36 a. m.) ;Configuracion;No aplica;Carpeta 'Salidas_Proyecciones' eliminada de la carpeta 'Archivos'
56,(16/02/2024 9:24:36 a. m.) ;Configuracion;Cargue configuración exitoso
57,(16/02/2024 9:24:36 a. m.) ;MaestraNotificaciones1;Inicio Tarea
58,(16/02/2024 9:24:36 a. m.) ;SubMaestraDescargarDavibox;Inicio Tarea
59,(16/02/2024 9:24:42 a. m.) ;LoginDavibox; Davibox; Taskkill ejecutado
60,(16/02/2024 9:26:00 a. m.) ;LoginDavibox;Davibox;No fue posible iniciar Sesión en Davibox.
61,(16/02/2024 9:26:08 a. m.) ;LoginDavibox; Davibox; Taskkill ejecutado
62,(16/02/2024 9:32:54 a. m.) ;LoginDavibox;Davibox;Inicio de sesión en Davibox exitoso.
63,(16/02/2024 9:33:14 a. m.) ;DescargarDavibox;Archivo (Salidas_His_Pro.zip) descargada en carpeta archivos
64,(16/02/2024 9:33:22 a. m.) ;DescargarDavibox;Archivos eliminados de Davibox  (Salidas_His_Pro.zip)
65,(16/02/2024 9:33:37 a. m.) ;SubMaestraDescargarDavibox;Fin Tarea
66,(16/02/2024 9:33:37 a. m.) ;SubMaestraCorreoEstado;Inició tarea
67,(16/02/2024 9:34:25 a. m.) ;LoginC360; Davibox; Taskkill ejecutado
68,(16/02/2024 9:36:18 a. m.) ;LoginC360;C360;Inicio de sesión en C360 exitoso.
69,(16/02/2024 9:36:42 a. m.) ;LoginMasiv;Masiv;Inicio de sesión en Masiv exitoso.
70,"(16/02/2024 9:36:42 a. m.) ;SubMaestraCorreoEstado;Se ejecutara script FechaConFormato.vbs. Parametros: ""hoy"" ""ddmmyyyy"""
71,(16/02/2024 9:36:43 a. m.) ;SubMaestraCorreoEstado;Script ejecutado FechaConFormato.vbs output: 16022024
72,(16/02/2024 9:36:43 a. m.) ;SubMaestraCorreoEstado;Copiar archivo (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Templet\Reporte_Notificaciones.xlsx) a (C:\Automation Anywhere Files\Automation Anywhere\My Docs\R_Notificaciones_1\Templet\Reporte_Notificaciones_Check.xlsx)
73,"(16/02/2024 9:36:45 a. m.) ;CambiarEstadoC360;Numero de Radicado: ""1-41288901503"""
74,(16/02/2024 9:36:55 a. m.) ;CambiarEstadoC360;C360; Estado de procesamiento: REASIGNAR
75,RNFS;ancramir;VDIRPA372;90.128.1.120;GenerarLog;2024216;9:40:43
76,(16/02/2024 9:40:45 a. m.) ;Configuracion;Gsuite;  Descarga exitosa archivo configuracion.json ID: 1oto3xGnesJQB3ZR61J05u1nlfOpTiJcs
77,(16/02/2024 9:40:46 a. m.) ;Configuracion;Gsuite;  Descarga exitosa archivo Parametros.xlsx ID: 1qsx1GnRzLNn2Xvvfvws5mKyFlivQ48q1VeyI9lqE9ZU
78,(16/02/2024 9:40:51 a. m.) ;Configuracion;CMD; (Taskkill) ejecutado
79,(16/02/2024 9:40:51 a. m.) ;Configuracion;No aplica;Archivos eliminados de la carpeta 'Archivos'
80,(16/02/2024 9:40:51 a. m.) ;Configuracion;No aplica;Carpeta 'Salidas_Historicos' eliminada de la carpeta 'Archivos'
81,(16/02/2024 9:40:51 a. m.) ;Configuracion;No aplica;Carpeta 'Salidas_His_Pro' eliminada de la carpeta 'Archivos'
82,(16/02/2024 9:40:51 a. m.) ;Configuracion;No aplica;Carpeta 'Salidas_Proyecciones' eliminada de la carpeta 'Archivos'
